sep=,
"Nombre","Saldo actual","Cuentas","Transferencias","Descripción","Beneficiario","Categoría","Fecha","Hora","Memoria","Importe","Moneda","Número de cheque","Etiquetas","Saldo"
"Roboadvisor","4595,19","EUR","","","","","","","","","","","",""
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","11/05/2025","11:37","","126,21","EUR","","Pablo; ","4595,19"
"","","Roboadvisor","","Roboadvisor","","Inversiones Ingresos > Roboadvisor","01/05/2025","11:21","","30,00","EUR","","Pablo; ","4468,98"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","30/04/2025","22:57","","234,87","EUR","","Pablo; ","4438,98"
"","","Roboadvisor","","Roboadvisor","","Inversiones Ingresos > Roboadvisor","24/04/2025","19:28","","30,00","EUR","","Pablo; ","4204,11"
"","","Roboadvisor","","Roboadvisor","","Inversiones Ingresos > Roboadvisor","17/04/2025","8:56","","30,00","EUR","","Pablo; ","4174,11"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","13/04/2025","22:36","","-452,85","EUR","","Pablo; ","4144,11"
"","","Roboadvisor","","Roboadvisor","","Inversiones Ingresos > Roboadvisor","10/04/2025","22:27","","30,00","EUR","","Pablo; ","4596,96"
"","","Roboadvisor","","Roboadvisor","","Inversiones Ingresos > Roboadvisor","03/04/2025","22:13","","30,00","EUR","","Pablo; ","4566,96"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","30/03/2025","13:40","","-42,29","EUR","","Pablo; ","4536,96"
"","","Roboadvisor","","Roboadvisor","","Inversiones Ingresos > Roboadvisor","27/03/2025","13:42","","30,00","EUR","","Pablo; ","4579,25"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","23/03/2025","8:14","","81,36","EUR","","Pablo; ","4549,25"
"","","Roboadvisor","","Roboadvisor","","Inversiones Ingresos > Roboadvisor","20/03/2025","10:33","","30,00","EUR","","Pablo; ","4467,89"
"","","Roboadvisor","","Roboadvisor","","Inversiones Ingresos > Roboadvisor","17/03/2025","22:38","","30,00","EUR","","Pablo; ","4437,89"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","15/03/2025","22:49","","-114,30","EUR","","Pablo; ","4407,89"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","08/03/2025","20:56","","-199,20","EUR","","Pablo; ","4522,19"
"","","Roboadvisor","","Roboadvisor","","Inversiones Ingresos > Roboadvisor","06/03/2025","18:37","","30,00","EUR","","Pablo; ","4721,39"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","28/02/2025","8:27","","-69,35","EUR","","Pablo; ","4691,39"
"","","Roboadvisor","","Roboadvisor","","Inversiones Ingresos > Roboadvisor","27/02/2025","23:48","","30,00","EUR","","Pablo; ","4760,74"
"","","Roboadvisor","","Roboadvisor","","Inversiones Ingresos > Roboadvisor","20/02/2025","12:46","","30,00","EUR","","Pablo; ","4730,74"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","15/02/2025","0:38","","46,19","EUR","","Pablo; ","4700,74"
"","","Roboadvisor","","Roboadvisor","","Inversiones Ingresos > Roboadvisor","13/02/2025","11:21","","30,00","EUR","","Pablo; ","4654,55"
"","","Roboadvisor","","Roboadvisor","","Inversiones Ingresos > Roboadvisor","06/02/2025","8:38","","30,00","EUR","","Pablo; ","4624,55"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","31/01/2025","20:46","","0,86","EUR","","Pablo; ","4594,55"
"","","Roboadvisor","","Roboadvisor","","Inversiones Ingresos > Roboadvisor","31/01/2025","9:03","","30,00","EUR","","Pablo; ","4593,69"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","26/01/2025","21:14","","68,11","EUR","","Pablo; ","4563,69"
"","","Roboadvisor","","Roboadvisor","","Inversiones Ingresos > Roboadvisor","23/01/2025","23:41","","30,00","EUR","","Pablo; ","4495,58"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","18/01/2025","10:21","","30,71","EUR","","Pablo; ","4465,58"
"","","Roboadvisor","","Roboadvisor","","Inversiones Ingresos > Roboadvisor","16/01/2025","8:56","","30,00","EUR","","Pablo; ","4434,87"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","12/01/2025","10:52","","-24,16","EUR","","Pablo; ","4404,87"
"","","Roboadvisor","","Roboadvisor","","Inversiones Ingresos > Roboadvisor","09/01/2025","10:34","","30,00","EUR","","Pablo; ","4429,03"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","05/01/2025","9:45","","-7,68","EUR","","Pablo; ","4399,03"
"","","Roboadvisor","","Roboadvisor","","Inversiones Ingresos > Roboadvisor","02/01/2025","10:03","","30,00","EUR","","Pablo; ","4406,71"
"","","Roboadvisor","","Roboadvisor","","Inversiones Ingresos > Roboadvisor","28/12/2024","20:03","","85,00","EUR","","Pablo; ","4376,71"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","28/12/2024","19:31","","-12,36","EUR","","Pablo; ","4291,71"
"","","Roboadvisor","","Roboadvisor","","Inversiones Ingresos > Roboadvisor","23/12/2024","9:07","","20,00","EUR","","Pablo; ","4304,07"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","22/12/2024","11:13","","-47,09","EUR","","Pablo; ","4284,07"
"","","Roboadvisor","","Roboadvisor","","Inversiones Ingresos > Roboadvisor","15/12/2024","17:02","","20,00","EUR","","Pablo; ","4331,16"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","15/12/2024","11:31","","-36,49","EUR","","Pablo; ","4311,16"
"","","Roboadvisor","","Roboadvisor","","Inversiones Ingresos > Roboadvisor","09/12/2024","22:56","","20,00","EUR","","Pablo; ","4347,65"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","09/12/2024","17:54","","20,47","EUR","","Pablo; ","4327,65"
"","","Roboadvisor","","Roboadvisor","","Inversiones Ingresos > Roboadvisor","02/12/2024","18:07","","20,00","EUR","","Pablo; ","4307,18"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","02/12/2024","17:51","","58,01","EUR","","Pablo; ","4287,18"
"","","Roboadvisor","","Roboadvisor","","Inversiones Ingresos > Roboadvisor","25/11/2024","19:20","","20,00","EUR","","Pablo; ","4229,17"
